,accession,start,end,strand,gene_name,old_locus_tag,gene_product,ncbi_protein,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
b0026,U00096.3,22391,25207,+,ileS,,isoleucine--tRNA ligase,AAC73137.1,316407.85674290,0.0,1922.0,"COG0060@1|root,COG0060@2|Bacteria,1MVBQ@1224|Proteobacteria,1RMTF@1236|Gammaproteobacteria,3XNGC@561|Escherichia",2|Bacteria,J,"amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)",ileS,"GO:0003674,GO:0003824,GO:0004812,GO:0004822,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006428,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043167,GO:0043169,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046872,GO:0046914,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576",6.1.1.5,ko:K01870,"ko00970,map00970","M00359,M00360",R03656,"RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",-,-,"iG2583_1286.G2583_0027,iPC815.YPO0475","Anticodon_1,tRNA-synt_1,zf-FPG_IleRS"
b0027,U00096.3,25207,25701,+,lspA,,lipoprotein signal peptidase,AAC73138.1,316407.21321909,6.28e-116,332.0,"COG0597@1|root,COG0597@2|Bacteria,1RGV9@1224|Proteobacteria,1S60E@1236|Gammaproteobacteria,3XP2H@561|Escherichia",2|Bacteria,MU,This protein specifically catalyzes the removal of signal peptides from prolipoproteins,lspA,"GO:0003674,GO:0003824,GO:0004175,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0016021,GO:0016787,GO:0019538,GO:0031224,GO:0031226,GO:0034645,GO:0042157,GO:0042158,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044425,GO:0044459,GO:0044464,GO:0070011,GO:0071704,GO:0071944,GO:0097304,GO:0140096,GO:1901564,GO:1901566,GO:1901576",3.4.23.36,ko:K03101,"ko03060,map03060",-,-,-,"ko00000,ko00001,ko01000,ko01002",-,-,-,Peptidase_A8
b0028,U00096.3,25826,26275,+,fkpB,,peptidyl-prolyl cis-trans isomerase FkpB,AAC73139.1,316407.21321910,6.23e-102,295.0,"COG1047@1|root,COG1047@2|Bacteria,1RHD1@1224|Proteobacteria,1S5YP@1236|Gammaproteobacteria,3XPMW@561|Escherichia",2|Bacteria,O,"with 'Suc-Ala-Xaa-Pro-Phe-4-nitroanilide' where Xaa is the amino acid tested, was found to be Phe Leu Ile Lys Ala Trp His Gln",fkpB,"GO:0000413,GO:0003674,GO:0003755,GO:0003824,GO:0005488,GO:0005507,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006457,GO:0006464,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0008270,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0010467,GO:0016151,GO:0016853,GO:0016859,GO:0018193,GO:0018208,GO:0019538,GO:0022417,GO:0031647,GO:0035821,GO:0036211,GO:0042026,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0043963,GO:0044003,GO:0044068,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044403,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0044501,GO:0046872,GO:0046914,GO:0050821,GO:0050896,GO:0050897,GO:0051082,GO:0051604,GO:0051701,GO:0051704,GO:0051817,GO:0052027,GO:0052250,GO:0061077,GO:0065007,GO:0065008,GO:0071704,GO:0140096,GO:1901564",5.2.1.8,"ko:K03774,ko:K03775",-,-,-,-,"ko00000,ko01000,ko03110",-,-,-,FKBP_C
b0029,U00096.3,26277,27227,+,ispH,,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,AAC73140.1,199310.c0033,1.7000000000000002e-224,619.0,"COG0761@1|root,COG0761@2|Bacteria,1MU7G@1224|Proteobacteria,1RMN8@1236|Gammaproteobacteria,3XM3C@561|Escherichia",2|Bacteria,IM,Catalyzes the conversion of 1-hydroxy-2-methyl-2-(E)- butenyl 4-diphosphate (HMBPP) into a mixture of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). Acts in the terminal step of the DOXP MEP pathway for isoprenoid precursor biosynthesis,ispH,"GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006081,GO:0006082,GO:0006090,GO:0006629,GO:0006644,GO:0006720,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0008654,GO:0009058,GO:0009240,GO:0009987,GO:0016491,GO:0019288,GO:0019637,GO:0019682,GO:0019752,GO:0032787,GO:0042380,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046490,GO:0048037,GO:0051536,GO:0051538,GO:0051540,GO:0055114,GO:0071704,GO:0090407,GO:1901135,GO:1901576","1.17.7.4,2.7.4.25","ko:K00945,ko:K02945,ko:K03527","ko00240,ko00900,ko01100,ko01110,ko01130,ko03010,map00240,map00900,map01100,map01110,map01130,map03010","M00052,M00096,M00178","R00158,R00512,R01665,R05884,R08210","RC00002,RC01137,RC01487","br01610,ko00000,ko00001,ko00002,ko01000,ko03011",-,-,"iECIAI1_1343.ECIAI1_0030,iECW_1372.ECW_m0028,iEKO11_1354.EKO11_3884,iEcHS_1320.EcHS_A0031,iEcolC_1368.EcolC_3626,iIT341.HP0400,iLJ478.TM1444,iPC815.YPO0477,iSFV_1184.SFV_0023,iSF_1195.SF0026,iSFxv_1172.SFxv_0027,iS_1188.S0028,iWFL_1372.ECW_m0028,iYL1228.KPN_00024","LYTB,S1"
b0030,U00096.3,27293,28207,+,rihC,,ribonucleoside hydrolase RihC,AAC73141.1,316407.21321912,8.61e-222,611.0,"COG1957@1|root,COG1957@2|Bacteria,1MUIW@1224|Proteobacteria,1RQ1V@1236|Gammaproteobacteria,3XNKR@561|Escherichia",2|Bacteria,F,Hydrolyzes both purine and pyrimidine ribonucleosides with a broad-substrate specificity,rihC,"GO:0003674,GO:0003824,GO:0005488,GO:0005509,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006152,GO:0006213,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008477,GO:0009056,GO:0009116,GO:0009119,GO:0009164,GO:0009987,GO:0016787,GO:0016798,GO:0016799,GO:0019439,GO:0033554,GO:0034641,GO:0034655,GO:0034656,GO:0042278,GO:0042454,GO:0042802,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0045437,GO:0046131,GO:0046133,GO:0046135,GO:0046483,GO:0046700,GO:0046872,GO:0047405,GO:0047622,GO:0047724,GO:0050263,GO:0050896,GO:0051716,GO:0055086,GO:0071704,GO:0072521,GO:0072523,GO:0072527,GO:0072529,GO:1901135,GO:1901136,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658","3.2.2.1,3.2.2.8","ko:K01239,ko:K01250,ko:K10213,ko:K12700","ko00230,ko00240,ko00760,ko01100,map00230,map00240,map00760,map01100",-,"R01245,R01273,R01677,R01770,R02137,R02143","RC00033,RC00063,RC00122,RC00318,RC00485","ko00000,ko00001,ko01000",-,-,"iECH74115_1262.ECH74115_3298,iECNA114_1301.ECNA114_0014,iECSP_1301.ECSP_3040,iECs_1301.ECs3054,iEcE24377_1341.EcE24377A_0030,iLF82_1304.LF82_1885,iNRG857_1313.NRG857_00145,iSbBS512_1146.SbBS512_E0598,iYL1228.KPN_00025,iZ_1308.Z3419",IU_nuc_hydro
b0031,U00096.3,28374,29195,+,dapB,,4-hydroxy-tetrahydrodipicolinate reductase,AAC73142.1,316407.21321913,3.1399999999999996e-188,523.0,"COG0289@1|root,COG0289@2|Bacteria,1MUCT@1224|Proteobacteria,1RMCZ@1236|Gammaproteobacteria,3XMUX@561|Escherichia",2|Bacteria,E,Catalyzes the conversion of 4-hydroxy- tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate,dapB,"GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006553,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0008839,GO:0009058,GO:0009066,GO:0009067,GO:0009085,GO:0009089,GO:0009987,GO:0016053,GO:0016491,GO:0016627,GO:0016628,GO:0019752,GO:0019877,GO:0042802,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046451,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",1.17.1.8,"ko:K00215,ko:K03546","ko00261,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00261,map00300,map01100,map01110,map01120,map01130,map01230","M00016,M00525,M00526,M00527","R04198,R04199",RC00478,"ko00000,ko00001,ko00002,ko01000,ko03400",-,-,"iIT341.HP0510,iLJ478.TM1520,iSbBS512_1146.SbBS512_E0035","DapB_C,DapB_N"
b0032,U00096.3,29651,30799,+,carA,,carbamoyl-phosphate synthetase small subunit,AAC73143.1,316407.21321914,1.4499999999999998e-282,771.0,"COG0505@1|root,COG0505@2|Bacteria,1MUB9@1224|Proteobacteria,1RMAW@1236|Gammaproteobacteria,3XMKS@561|Escherichia",2|Bacteria,F,Carbamoyl-phosphate synthetase glutamine chain,carA,"GO:0000050,GO:0003674,GO:0003824,GO:0004088,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005951,GO:0006082,GO:0006139,GO:0006206,GO:0006207,GO:0006220,GO:0006221,GO:0006520,GO:0006525,GO:0006526,GO:0006541,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009112,GO:0009117,GO:0009165,GO:0009218,GO:0009220,GO:0009259,GO:0009260,GO:0009987,GO:0016053,GO:0016874,GO:0016879,GO:0016884,GO:0018130,GO:0019438,GO:0019627,GO:0019637,GO:0019693,GO:0019752,GO:0019856,GO:0032991,GO:0034641,GO:0034654,GO:0040007,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046112,GO:0046390,GO:0046394,GO:0046483,GO:0055086,GO:0071704,GO:0071941,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1902494",6.3.5.5,ko:K01956,"ko00240,ko00250,ko01100,map00240,map00250,map01100",M00051,"R00256,R00575,R01395,R10948,R10949","RC00002,RC00010,RC00043,RC02750,RC02798,RC03314","ko00000,ko00001,ko00002,ko01000",-,-,"iAPECO1_1312.APECO1_1950,iNJ661.Rv1383,iUTI89_1310.UTI89_C0036,ic_1306.c0040","CPSase_sm_chain,GATase"
b0033,U00096.3,30817,34038,+,carB,,carbamoyl-phosphate synthetase large subunit,AAC73144.1,316407.21321915,0.0,2086.0,"COG0458@1|root,COG0458@2|Bacteria,1MUDZ@1224|Proteobacteria,1RPIU@1236|Gammaproteobacteria,3XMVN@561|Escherichia",2|Bacteria,F,Carbamoyl-phosphate synthetase ammonia chain,carB,"GO:0000050,GO:0000166,GO:0003674,GO:0003824,GO:0004087,GO:0004088,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0005951,GO:0006082,GO:0006139,GO:0006206,GO:0006220,GO:0006221,GO:0006520,GO:0006525,GO:0006526,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009112,GO:0009117,GO:0009165,GO:0009218,GO:0009220,GO:0009259,GO:0009260,GO:0009987,GO:0016020,GO:0016053,GO:0016597,GO:0016874,GO:0016879,GO:0016884,GO:0017076,GO:0018130,GO:0019438,GO:0019627,GO:0019637,GO:0019693,GO:0019752,GO:0019856,GO:0030554,GO:0031406,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0034641,GO:0034654,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0043177,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046112,GO:0046390,GO:0046394,GO:0046483,GO:0046872,GO:0055086,GO:0071704,GO:0071941,GO:0071944,GO:0072527,GO:0072528,GO:0090407,GO:0097159,GO:0097367,GO:1901135,GO:1901137,GO:1901265,GO:1901293,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1902494",6.3.5.5,ko:K01955,"ko00240,ko00250,ko01100,map00240,map00250,map01100",M00051,"R00256,R00575,R01395,R10948,R10949","RC00002,RC00010,RC00043,RC02750,RC02798,RC03314","ko00000,ko00001,ko00002,ko01000",-,-,"iAF1260.b0033,iBWG_1329.BWG_0031,iECDH10B_1368.ECDH10B_0034,iECDH1ME8569_1439.ECDH1ME8569_0031,iECUMN_1333.ECUMN_0034,iEcDH1_1363.EcDH1_3566,iJN746.PP_4723,iJO1366.b0033,iJR904.b0033,iPC815.YPO0482,iY75_1357.Y75_RS00170,iYL1228.KPN_00041","CPSase_L_D2,CPSase_L_D3,MGS"
b0034,U00096.3,34300,34695,+,caiF,,DNA-binding transcriptional activator CaiF,AAC73145.2,511145.b0034,1.0499999999999999e-89,263.0,"2BXKV@1|root,30W1N@2|Bacteria,1RDQ6@1224|Proteobacteria,1S5BF@1236|Gammaproteobacteria,3XPJ8@561|Escherichia",2|Bacteria,K,Transcriptional activatory protein CaiF,caiF,"GO:0003674,GO:0003700,GO:0006139,GO:0006351,GO:0006355,GO:0006575,GO:0006577,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009437,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097164,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901564,GO:1901576,GO:1903506,GO:2000112,GO:2001141",-,ko:K08277,-,-,-,-,"ko00000,ko03000",-,-,-,CaiF_GrlA
b0035,U00096.3,34781,35371,-,caiE,,putative transferase CaiE,AAC73146.2,316407.85674292,7.029999999999999e-140,395.0,"COG0663@1|root,COG0663@2|Bacteria,1MVUI@1224|Proteobacteria,1RYPQ@1236|Gammaproteobacteria,3XM7F@561|Escherichia",2|Bacteria,S,Overproduction of CaiE stimulates the activity of CaiB and CaiD,caiE,"GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006575,GO:0006577,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0008735,GO:0009437,GO:0009987,GO:0016043,GO:0016289,GO:0016787,GO:0016788,GO:0016790,GO:0016829,GO:0016835,GO:0016836,GO:0022607,GO:0034641,GO:0042802,GO:0043167,GO:0043169,GO:0043933,GO:0044085,GO:0044237,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0046914,GO:0051259,GO:0051260,GO:0065003,GO:0070206,GO:0070207,GO:0071704,GO:0071840,GO:0097164,GO:1901564",-,"ko:K02617,ko:K08279",-,-,-,-,ko00000,-,-,-,Hexapep
b0036,U00096.3,35377,36162,-,caiD,,crotonobetainyl-CoA hydratase,AAC73147.2,316407.85674293,7.4e-185,515.0,"COG1024@1|root,COG1024@2|Bacteria,1MWZC@1224|Proteobacteria,1RR3Z@1236|Gammaproteobacteria,3XP09@561|Escherichia",2|Bacteria,I,Catalyzes the reversible dehydration of L-carnitinyl-CoA to crotonobetainyl-CoA,caiD,"GO:0003674,GO:0003824,GO:0004300,GO:0006082,GO:0006575,GO:0006577,GO:0006579,GO:0006629,GO:0006631,GO:0006635,GO:0006807,GO:0008150,GO:0008152,GO:0008809,GO:0009056,GO:0009062,GO:0009437,GO:0009987,GO:0016042,GO:0016054,GO:0016829,GO:0016835,GO:0016836,GO:0016853,GO:0016854,GO:0016856,GO:0019395,GO:0019752,GO:0030258,GO:0032787,GO:0034440,GO:0034641,GO:0042219,GO:0042413,GO:0043436,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044270,GO:0044281,GO:0044282,GO:0046395,GO:0055114,GO:0071704,GO:0072329,GO:0097164,GO:1901564,GO:1901565,GO:1901575",4.2.1.149,ko:K08299,-,-,R10675,RC01095,"ko00000,ko01000",-,-,"iAPECO1_1312.APECO1_1945,iEC042_1314.EC042_0038,iECABU_c1320.ECABU_c00410,iECB_1328.ECB_00040,iECD_1391.ECD_00040,iECO103_1326.ECO103_0038,iECP_1309.ECP_0036,iETEC_1333.ETEC_0036,iNRG857_1313.NRG857_00190,iUMN146_1321.UM146_22960,ic_1306.c0045",ECH_1
b0037,U00096.3,36271,37824,-,caiC,,carnitine--CoA ligase,AAC73148.2,316407.21321919,0.0,1058.0,"COG0318@1|root,COG0318@2|Bacteria,1MU6G@1224|Proteobacteria,1RMQ4@1236|Gammaproteobacteria,3XMZB@561|Escherichia",2|Bacteria,IQ,"Could catalyze the transfer of CoA to carnitine, generating the initial carnitinyl-CoA needed for the CaiB reaction cycle",caiC,"GO:0001676,GO:0003674,GO:0003824,GO:0004467,GO:0005488,GO:0005504,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006082,GO:0006139,GO:0006163,GO:0006629,GO:0006631,GO:0006635,GO:0006637,GO:0006644,GO:0006725,GO:0006732,GO:0006753,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008289,GO:0008610,GO:0008654,GO:0009056,GO:0009058,GO:0009062,GO:0009117,GO:0009150,GO:0009259,GO:0009314,GO:0009411,GO:0009416,GO:0009628,GO:0009898,GO:0009987,GO:0015645,GO:0016020,GO:0016042,GO:0016054,GO:0016405,GO:0016874,GO:0016877,GO:0016878,GO:0016879,GO:0016881,GO:0019395,GO:0019637,GO:0019693,GO:0019752,GO:0030258,GO:0031406,GO:0031956,GO:0032787,GO:0033293,GO:0033865,GO:0033875,GO:0034032,GO:0034440,GO:0034641,GO:0035383,GO:0036041,GO:0036094,GO:0043167,GO:0043168,GO:0043177,GO:0043436,GO:0043603,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044249,GO:0044255,GO:0044281,GO:0044282,GO:0044424,GO:0044425,GO:0044444,GO:0044459,GO:0044464,GO:0046395,GO:0046483,GO:0050896,GO:0051108,GO:0051109,GO:0051186,GO:0055086,GO:0055114,GO:0070538,GO:0071704,GO:0071944,GO:0072329,GO:0072521,GO:0090407,GO:0098552,GO:0098562,GO:1901135,GO:1901360,GO:1901564,GO:1901575,GO:1901576","6.2.1.3,6.2.1.48","ko:K01897,ko:K02182,ko:K12507","ko00061,ko00071,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920",M00086,R01280,"RC00004,RC00014","ko00000,ko00001,ko00002,ko01000,ko01004,ko04147",4.C.1.1,-,"iECIAI1_1343.ECIAI1_1755,iECSE_1348.ECSE_0038,iNRG857_1313.NRG857_00195,iSF_1195.SF1423,iSFxv_1172.SFxv_1611,iS_1188.S1538","AMP-binding,AMP-binding_C"
b0038,U00096.3,37898,39115,-,caiB,,gamma-butyrobetainyl-CoA:carnitine CoA transferase,AAC73149.1,316407.21321920,6.46e-309,840.0,"COG1804@1|root,COG1804@2|Bacteria,1MU2K@1224|Proteobacteria,1RNB5@1236|Gammaproteobacteria,3XP57@561|Escherichia",2|Bacteria,C,Catalyzes the reversible transfer of the CoA moiety from gamma-butyrobetainyl-CoA to L-carnitine to generate L-carnitinyl- CoA and gamma-butyrobetaine. Is also able to catalyze the reversible transfer of the CoA moiety from gamma-butyrobetainyl- CoA or L-carnitinyl-CoA to crotonobetaine to generate crotonobetainyl-CoA,caiB,"GO:0003674,GO:0003824,GO:0006575,GO:0006577,GO:0006579,GO:0006807,GO:0008150,GO:0008152,GO:0008735,GO:0009056,GO:0009437,GO:0009987,GO:0016829,GO:0016835,GO:0016836,GO:0034641,GO:0042219,GO:0042413,GO:0044237,GO:0044248,GO:0044270,GO:0071704,GO:0097164,GO:1901564,GO:1901565,GO:1901575",2.8.3.21,ko:K08298,-,-,"R10643,R10644","RC00014,RC00131","ko00000,ko01000",-,-,"iEC55989_1330.EC55989_0038,iECIAI1_1343.ECIAI1_0040,iECO103_1326.ECO103_0040,iECO111_1330.ECO111_0039,iECO26_1355.ECO26_0039,iEcHS_1320.EcHS_A0042,iSF_1195.SF0035,iSFxv_1172.SFxv_0036,iS_1188.S0037",CoA_transf_3
b0039,U00096.3,39244,40386,-,caiA,,crotonobetainyl-CoA reductase,AAC73150.1,316407.85674294,5.06e-282,769.0,"COG1960@1|root,COG1960@2|Bacteria,1MUDR@1224|Proteobacteria,1RMMJ@1236|Gammaproteobacteria,3XPD4@561|Escherichia",2|Bacteria,I,Catalyzes the reduction of crotonobetainyl-CoA to gamma- butyrobetainyl-CoA,caiA,"GO:0003674,GO:0003824,GO:0006066,GO:0008150,GO:0008152,GO:0009058,GO:0016491,GO:0016627,GO:0034308,GO:0034309,GO:0044281,GO:0044283,GO:0046165,GO:0052890,GO:0055114,GO:0071270,GO:0071271,GO:0071704,GO:1901576,GO:1901615,GO:1901617","1.3.8.13,1.3.8.7","ko:K00249,ko:K04117,ko:K08297,ko:K11731","ko00071,ko00280,ko00281,ko00362,ko00410,ko00640,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,ko03320,map00071,map00280,map00281,map00362,map00410,map00640,map01100,map01110,map01120,map01130,map01200,map01212,map03320","M00013,M00036,M00087,M00540","R00924,R01175,R01279,R02661,R03172,R03777,R03857,R03990,R04095,R04432,R04751,R04754,R05619,R08089","RC00052,RC00068,RC00076,RC00095,RC00148,RC00246,RC01893,RC02035","ko00000,ko00001,ko00002,ko01000",-,-,-,"Acyl-CoA_dh_1,Acyl-CoA_dh_M,Acyl-CoA_dh_N"
b0040,U00096.3,40417,41931,-,caiT,,L-carnitine:gamma-butyrobetaine antiporter,AAC73151.1,316407.85674295,0.0,1018.0,"COG1292@1|root,COG1292@2|Bacteria,1MV0K@1224|Proteobacteria,1RP3E@1236|Gammaproteobacteria,3XNPU@561|Escherichia",2|Bacteria,M,Catalyzes the exchange of L-carnitine for gamma- butyrobetaine and related betaines,caiT,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006950,GO:0006974,GO:0008150,GO:0008324,GO:0008519,GO:0009987,GO:0015075,GO:0015101,GO:0015226,GO:0015651,GO:0015695,GO:0015696,GO:0015697,GO:0015838,GO:0015879,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0031226,GO:0033554,GO:0034220,GO:0044425,GO:0044459,GO:0044464,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0072337,GO:0072349,GO:0072488,GO:0098655,GO:1902603",-,"ko:K02168,ko:K03451,ko:K05245",-,-,-,-,"ko00000,ko02000","2.A.15,2.A.15.1.3,2.A.15.1.4,2.A.15.2",-,"iAF1260.b0314,iB21_1397.B21_00043,iB21_1397.B21_00273,iEC042_1314.EC042_0347,iEC55989_1330.EC55989_0316,iECBD_1354.ECBD_3344,iECBD_1354.ECBD_3575,iECB_1328.ECB_00044,iECB_1328.ECB_00270,iECDH10B_1368.ECDH10B_0301,iECD_1391.ECD_00044,iECD_1391.ECD_00270,iECH74115_1262.ECH74115_0376,iECIAI1_1343.ECIAI1_0311,iECO103_1326.ECO103_0291,iECO111_1330.ECO111_0348,iECO26_1355.ECO26_0348,iECSE_1348.ECSE_0335,iECSP_1301.ECSP_0369,iECUMN_1333.ECUMN_0352,iECW_1372.ECW_m0388,iECs_1301.ECs0360,iEKO11_1354.EKO11_3531,iEcDH1_1363.EcDH1_3292,iEcE24377_1341.EcE24377A_0331,iEcHS_1320.EcHS_A0373,iEcSMS35_1347.EcSMS35_1387,iEcolC_1368.EcolC_3309,iG2583_1286.G2583_0418,iJO1366.b0314,iJR904.b0314,iSF_1195.SF0037,iSFxv_1172.SFxv_0038,iS_1188.S0039,iUMNK88_1353.UMNK88_361,iWFL_1372.ECW_m0388,iY75_1357.Y75_RS01625,iZ_1308.Z0401",BCCT
b0041,U00096.3,42403,43173,+,fixA,,putative electron transfer flavoprotein FixA,AAC73152.2,511145.b0041,1.9400000000000002e-169,474.0,"COG2086@1|root,COG2086@2|Bacteria,1MVH6@1224|Proteobacteria,1RN6F@1236|Gammaproteobacteria,3XQE3@561|Escherichia",2|Bacteria,C,Required for anaerobic carnitine reduction. May bring reductant to CaiA,fixA,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006091,GO:0006575,GO:0006577,GO:0006579,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009055,GO:0009056,GO:0009437,GO:0009987,GO:0016491,GO:0022900,GO:0033554,GO:0034641,GO:0042219,GO:0042413,GO:0044237,GO:0044248,GO:0044270,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051716,GO:0055114,GO:0071704,GO:0097164,GO:1901564,GO:1901565,GO:1901575",-,ko:K03521,-,-,-,-,ko00000,-,-,-,ETF
